"","Date","Location","loc_temp","Taxon","Sample_ID","Body_Length_cm","Weight_g","Size_cat","Time_sec","Distance_cm","Acclim_temp","test","Temp","end_time_s","Notes","X","movement","speed","temp_range"
"1","12-Jun-25","Nuuk",21.3,"wolf_spider","WS1-N12",0.4,0.0079,"S",4.3,25,NA,"Ctmax",43,"","","","yes",5.81395348837209,"20-25"
"2","12-Jun-25","Nuuk",21.6,"wolf_spider","WS2-N12",0.5,0.0124,"S",6.61,25,NA,"Ctmax",42,"","","","yes",3.7821482602118,"20-25"
"3","12-Jun-25","Nuuk",21.1,"wolf_spider","WS3-N12",0.1,0.0065,"S",3,25,NA,"Ctmax",41,"","","","yes",8.33333333333333,"20-25"
"4","12-Jun-25","Nuuk",20.8,"wolf_spider","WS4-N12",0.6,0.0203,"S",7.47,25,NA,"Ctmax",40,"","","","yes",3.34672021419009,"20-25"
"5","12-Jun-25","Nuuk",21.1,"wolf_spider","WS5-N12",0.8,NA,NA,3,25,NA,"Ctmax",42,"","","","yes",8.33333333333333,"20-25"
"6","12-Jun-25","Nuuk",21.2,"wolf_spider","WS6-N12",NA,NA,NA,2.63,25,NA,"HKDT",43.5,"748","","","yes",9.50570342205323,"20-25"
"7","12-Jun-25","Nuuk",21.1,"wolf_spider","WS7-N12",0.6,0.0176,"S",2.04,25,NA,"HKDT",43.5,"796","","","yes",12.2549019607843,"20-25"
"8","12-Jun-25","Nuuk",21.3,"wolf_spider","WS8-N12",0.9,0.0944,"L",11.12,25,NA,"HKDT",43.5,"167","","","yes",2.24820143884892,"20-25"
"9","12-Jun-25","Nuuk",21.4,"wolf_spider","WS9-N12",0.5,0.0589,"L",NA,0,NA,"HKDT",43.5,"775","","","no",NA,"20-25"
"10","12-Jun-25","Nuuk",21.2,"wolf_spider","WS10-N12",0.4,0.0134,"S",4.3,25,NA,"HKDT",43.5,"65","","","yes",5.81395348837209,"20-25"
"11","12-Jun-25","Nuuk",21.3,"wolf_spider","WS11-N12",0.4,0.0203,"S",4.65,25,NA,"HKDT",43.5,"170","","","yes",5.37634408602151,"20-25"
